variable,interval,clusters,time_steps,total_cells,data_points,nan_count,mean,min,max,check_no_nans,check_dims,check_stats,file_size_mb,status
cluster_age_41_55_long,2005-2010,1421,6,8526,8526,0,-0.030827859417287936,-3.0493245476345923,3.8710440811095053,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_41_55_long,2010-2015,1421,6,8526,8526,0,-0.00234780958026652,-3.0225458962243055,3.505069178502254,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_41_55_long,2015-2020,1421,6,8526,8526,0,0.13422447920335673,-2.9975524882413715,3.6147341318967614,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_56_69_long,1990-1995,1421,6,8526,8526,0,0.10010588190451673,-1.9487907237859903,7.057112258170722,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_56_69_long,1995-2000,1421,6,8526,8526,0,-0.18688700766957259,-1.9499105824010063,5.614734362030427,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_56_69_long,2000-2005,1421,6,8526,8526,0,-0.0587395609932629,-1.9487907237859903,6.130989183552693,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_56_69_long,2005-2010,1421,6,8526,8526,0,0.08659562701725453,-1.9487907237859903,7.54313089708756,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_56_69_long,2010-2015,1421,6,8526,8526,0,0.036954603681686266,-1.9499105824010063,7.531932310937402,PASS,PASS,PASS,0.08,SUCCESS
cluster_age_56_69_long,2015-2020,1421,6,8526,8526,0,-0.017957189345442427,-1.9499105824010063,6.842099404087697,PASS,PASS,PASS,0.08,SUCCESS
cluster_counts_long,1990-1995,1421,6,8526,8526,0,-0.15494219430857775,-1.2312055400709254,5.676940878545817,PASS,PASS,PASS,0.08,SUCCESS
cluster_counts_long,1995-2000,1421,6,8526,8526,0,-0.08782255183730689,-1.2227655322289992,6.098941270642135,PASS,PASS,PASS,0.08,SUCCESS
cluster_counts_long,2000-2005,1421,6,8526,8526,0,-0.05096161446856518,-1.2227655322289992,6.246641407875847,PASS,PASS,PASS,0.08,SUCCESS
cluster_counts_long,2005-2010,1421,6,8526,8526,0,-0.03058324226191535,-1.2354255439918886,6.791021913680098,PASS,PASS,PASS,0.08,SUCCESS
cluster_counts_long,2010-2015,1421,6,8526,8526,0,0.09423601985353612,-1.19744550870322,11.513206301237908,PASS,PASS,PASS,0.08,SUCCESS
