Year,Active Businesses,Mean Centre X,Mean Centre Y,Standard Distance (m),Standard Distance (km),Business Intensity (per km²)
2015,2960,723971.6795332411,6176132.906775528,2312.6357854031858,2.312635785403186,30.13557703324604
2020,4066,723944.5490184125,6176157.201200181,2346.727540866521,2.346727540866521,41.39569466796568
