,Business Count,Mean X,Mean Y,Std Distance (m)
Retail Trade,2408.0,724016.7174696523,6176115.281782663,2333.5960513919
Food and Beverage Service,547.0,724111.9665759275,6176265.6161447065,2031.566026112458
