location,tau,p_value,slope,trend_class,mean_value,std_value
101_1106,-0.3057471264367816,0.01852190355643346,-0.27680000000000005,Decreasing,24.753333333333334,4.598742098540522
101_1107,-0.7526881720430108,2.9972362369790062e-09,-0.41357142857142853,Decreasing,23.273225806451613,4.327724118492957
101_1108,0.36923076923076925,0.008717346167893103,0.18529411764705894,Increasing,19.291538461538458,2.7198595726019668
101_1109,-0.632258064516129,6.360064654931108e-07,-0.2719999999999999,Decreasing,20.73451612903226,3.086503229420589
101_111,-0.060215053763440864,0.6463036389969625,-0.01909090909090917,No significant trend,20.840967741935486,3.1735991116617206
101_1110,0.31527093596059114,0.017206096582279562,0.1665476190476191,Increasing,16.15448275862069,2.9158905733771343
101_1111,0.5797101449275363,8.016707191549344e-05,0.8111666666666667,Increasing,28.58458333333333,11.56055000824163
101_1112,0.5075268817204301,6.492456359774579e-05,0.1668421052631578,Increasing,23.981290322580648,2.2995914671334123
101_1113,0.4838709677419355,0.0001405505548264241,0.4003999999999999,Increasing,32.49193548387096,4.249143685538745
101_1114,-0.6473118279569893,3.4158769013359347e-07,-0.4557142857142856,Decreasing,30.539354838709674,4.7970555051250745
101_1115,-0.23870967741935484,0.061538570047021235,-0.2253333333333335,No significant trend,33.62032258064516,4.727027630395487
101_1116,-0.44946236559139785,0.00040738224022218716,-0.12857142857142886,Decreasing,24.206451612903223,1.8575574464908289
101_1117,-0.04367816091954023,0.7481053914270006,-0.013749999999999707,No significant trend,30.945000000000004,2.438125987994331
101_1118,0.5225806451612903,3.903255135684347e-05,0.2546666666666667,Increasing,27.350645161290323,3.042766075500798
101_1119,0.5311827956989247,2.9007853530993444e-05,0.439047619047619,Increasing,41.6325806451613,5.524203032720844
101_112,-0.32903225806451614,0.009781611919498001,-0.1633333333333331,Decreasing,19.932903225806452,2.944290476496773
101_1120,-0.33763440860215055,0.008014910367279748,-0.186896551724138,Decreasing,30.54548387096774,2.987602165843498
101_1121,0.2838709677419355,0.02597866016768635,0.2455,Increasing,22.577741935483875,5.172765348704457
101_1122,0.3053763440860215,0.016552728702838415,0.14846153846153845,Increasing,22.89935483870968,2.8836143712069795
101_1123,-0.2924731182795699,0.021760860424100192,-0.18666666666666654,Decreasing,23.12774193548387,3.1397110095875522
101_1124,0.27816091954022987,0.0322801899241516,0.09181818181818163,Increasing,26.126333333333335,2.634998397638138
101_1125,-0.4881720430107527,0.00012243917739440668,-0.5633333333333338,Decreasing,36.32677419354838,9.358212672988493
101_1126,0.0989247311827957,0.4443675620908478,0.03999999999999915,No significant trend,36.49354838709678,2.301922826523858
101_1127,0.32903225806451614,0.009781611919498001,0.2195238095238095,Increasing,29.028709677419354,3.442659082870984
101_1128,-0.610752688172043,1.5094086633915538e-06,-0.35666666666666674,Decreasing,43.608064516129026,3.8196558022223126
101_1129,0.5010752688172043,8.041203646391715e-05,0.3204000000000001,Increasing,19.529032258064518,4.12407436718304
101_113,0.30049261083743845,0.023224244299516306,0.22322649572649575,Increasing,23.895172413793098,4.055328228299036
101_1130,0.09655172413793103,0.4644846295722058,0.04285714285714296,No significant trend,31.235999999999997,3.2498252260698575
101_1131,0.05806451612903226,0.6585566199856316,0.030625000000000124,No significant trend,47.66225806451613,4.20374004726929
101_1132,-0.44516129032258067,0.000463060547241545,-0.1942857142857142,Decreasing,32.354193548387094,2.75659768578019
101_1133,-0.8021505376344086,2.5708679629588005e-10,-0.5730434782608695,Decreasing,29.200322580645164,5.2686188946660435
101_1134,0.25591397849462366,0.0449013762794892,0.0816666666666664,Increasing,24.41516129032258,1.9285342436223791
101_1135,-0.14408602150537633,0.2619630008374654,-0.05624999999999991,No significant trend,22.10322580645161,2.378875292798861
101_1136,-0.5483870967741935,1.5809977126357566e-05,-0.238421052631579,Decreasing,39.69129032258064,3.133634128483519
101_1137,-0.546236559139785,1.707260688599277e-05,-0.6895652173913042,Decreasing,27.519999999999996,7.507725913157511
101_1138,0.6537634408602151,2.6060545232908794e-07,0.4708333333333332,Increasing,32.06903225806452,5.282837919417024
101_1139,-0.6279569892473118,7.577055374241581e-07,-0.34562500000000007,Decreasing,20.612903225806456,3.7891238186704057
101_114,0.017204301075268817,0.9052952265477159,0.011724137931034478,No significant trend,23.111290322580647,2.998140006130127
101_1140,-0.2574712643678161,0.047663715394174355,-0.08428571428571427,Decreasing,24.591333333333335,1.7790685453036625
101_1141,-0.6172043010752688,1.1680885727560764e-06,-0.45750000000000046,Decreasing,33.703548387096774,4.9889765893366365
101_1142,-0.5096774193548387,6.042257609317758e-05,-0.19869565217391305,Decreasing,22.836129032258068,2.9416000445438457
101_1143,-0.5913978494623656,3.2082201719685344e-06,-0.4750000000000001,Decreasing,25.093870967741935,5.537690025819461
101_1144,-0.060215053763440864,0.6463036389969625,-0.01538461538461533,No significant trend,18.805806451612906,1.6473689172847095
101_1145,-0.6344086021505376,5.824519233588177e-07,-0.2770588235294118,Decreasing,25.345161290322583,3.0752003564076844
101_1146,0.034408602150537634,0.7987646104203716,0.025,No significant trend,24.382580645161287,2.8683646771140716
101_1147,-0.42592592592592593,0.0015720522513125168,-0.2906641604010024,Decreasing,18.148571428571433,3.833749297159295
101_1148,0.21935483870967742,0.08604531406845561,0.07899999999999992,No significant trend,30.1358064516129,1.9271385677509583
101_1149,0.2860215053763441,0.024862848209154853,0.18714285714285714,Increasing,20.603870967741937,3.8557587240631883
101_115,-0.04086021505376344,0.7596537518193331,-0.03583333333333331,No significant trend,25.91129032258064,2.87123750091847
101_1150,0.27956989247311825,0.028340697604201104,0.2426666666666667,Increasing,37.18322580645162,4.6270560466336335
101_1151,-0.43655913978494626,0.000596334223081918,-0.16727272727272727,Decreasing,22.38193548387097,2.5817903507435505
101_1152,-0.39901477832512317,0.0025273466528255017,-0.19538011695906432,Decreasing,22.301379310344828,2.9772154592179625
101_1153,0.36774193548387096,0.003859889400894323,0.1781481481481481,Increasing,22.165806451612905,2.6065324564275025
101_1154,-0.589247311827957,3.4837237237184127e-06,-0.48000000000000004,Decreasing,28.20451612903226,5.454053738754664
101_1155,-0.023655913978494623,0.8650383150743488,-0.03083333333333312,No significant trend,48.53064516129032,4.770195732430944
101_1156,0.17419354838709677,0.1739206495334844,0.0521428571428573,No significant trend,18.946129032258064,1.775502977204024
101_1158,0.167816091954023,0.1989481007752456,0.06600000000000036,No significant trend,19.846,2.902323896466416
